"SOFTWARE LICENSING AGREEMENT","None","None"
"COMPUTER SOFTWARE LICENSING AGREEMENT","None","None"
"THIS AGREEMENT is entered into this ____________________, by and between ____________________, and ____________________.","None","None"
"WITNESSETH:","None","None"
"WHEREAS, Licensor is engaged in the business of designing and developing computer-related software and hardware systems and related products and has created and developed a software package called ____________________ that is intended to track consumer responses using a ____________________ system and is described in greater detail in the attached Exhibit "A" (the " Software" ); and","None","None"
"WHEREAS, Licensee desires to utilize such Software in conjunction with tracking its consumer responses to questions presented in its ____________________ video game;","None","None"
"WHEREAS, Licensor and Licensee believe it is in their mutual interest and desire to enter into an agreement whereby Licensee would use Licensor's Software on its PC LAN in tracking consumer responses pursuant to the terms and conditions hereinafter provided.","None","None"
"NOW, THEREFORE, in consideration of the premises and the mutual covenants of this Agreement, the parties hereto agree as follows:","None","None"
"1. LICENSE","None","None"
"A. Licensor hereby grants to Licensee, for the term of this Agreement, a nonexclusive, nonassignable, right and license to use the Software in connection with its business of tracking consumer responses on its ____________________ system in ____________________ (the Site).","None","None"
"Licensee's PC-LAN system at the Site currently includes ____________________ personal computers, the serial numbers of which are identified in Exhibit "B." Licensor will place the Software on the LAN Server.","Obligation-Licensor","None"
"B. This license is expressly limited to ____________________ personal computers on Licensee's LAN.","None","None"
"In the event that Licensee desires to add more PCs to the LAN, it shall notify Licensor of such fact, provide Licensor with the serial numbers of the additional PCs to be added, and agree to pay the Additional User Fee recited in Schedule A attached hereto.","None","Communication"
"In the event that Licensee desires to add more PCs to the LAN, it shall notify Licensor of such fact, provide Licensor with the serial numbers of the additional PCs to be added, and agree to pay the Additional User Fee recited in Schedule A attached hereto.","None","Payment Terms & Billing"
"C. No right or license is being conveyed to Licensee to use the Software at any other location.","None","None"
"Licensee is prohibited from making any copies, archival or otherwise, of the Software.","None","None"
"Licensee is further prohibited from using the Software in any manner other than as described above.","Exclusion-Licensee","None"
"2. TERM","None","None"
"This Agreement shall be effective as of the date of execution by both parties and shall extend for the period of ____________________ year(s) thereafter (Initial Term).","None","Term & Termination"
"This Agreement shall be automatically renewed for additional ____________________-year Extended Terms unless Licensee shall provide the Licensor in writing of its intention not to renew the Agreement, said notice to be provided at least ____________________ days prior to the expiration of the then in-effect Term.","None","Term & Termination"
"3. COMPENSATION","None","None"
